Артикул;Цена;Остаток;
CL159322;3690;0;
639011405;21610;0;
232017306;25710;15;
232017408;30750;9;
386013506;28540;1;
458010524;419550;6;
458010906;74450;0;
458010712;132710;6;
SL116.051.01;6080;20;
SL116.052.12;48900;10;
SL290.405.01;18940;0;
SL874.113.03;16640;4;
SL875.062.01;32230;0;
PIC111-02-R;3400;0;
1148-1W;3100;0;
1148-15P;51000;0;
1259-2W;8600;10;
1287-2W;6000;10;
1287-1W;4800;10;
1288-2W;6000;10;
1288-1W;4800;10;
1141-15P;25000;1;
1141-10P;48600;2;
1141-2W;6900;10;
1141-6P;30700;0;
1146-1P;6500;0;
1146-2W;7800;10;
1146-3P;12600;0;
1145-1W;5500;0;
1145-3P;26300;0;
1216-1W;5000;0;
1216-1P;7100;0;
1214-1W;5400;10;
1214-1U;5100;10;
1214-1P;6500;10;
1214-3P1;12800;10;
1122-1T;9000;10;
1122-1W;5400;10;
1122-6P;24400;10;
1144-15P;84200;10;
1144-10P;52000;10;
1144-2W;12000;10;
1086-4P;27800;10;
1085-1P;11800;10;
1085-2W;8900;10;
1085-3P;26300;10;
1165-2W;17300;10;
1165-4PC;36900;10;
1165-6PC;62600;10;
1056-8C;23000;0;
1335-1P;4300;0;
1156-2W;20000;1;
1156-8P;68300;6;
1156-1P;23400;1;
1157-1P;20300;0;
1157-2W;15000;0;
1157-8P;59500;0;
1088-6U;49900;0;
1131-3P;20500;10;
1125-9U;12700;0;
1800/04 PL-1;3990;0;
3001/01 PL-9;65000;32;
3001/01 TL-4;21470;6;
3001/01 PN-6;72790;0;
C0163;1636;43;
5088;26569;3;
5089;20955;0;
C0105;13036;6;
C0106;17691;2;
C0115;13036;12;
C0116;17691;18;
C0103;11795;11;
C0104;16445;20;
C0113;11795;8;
C0114;16445;1;
C0101;10088;10;
C0102;14743;10;
C0111;10088;4;
C0112;14743;5;
5123;10616;2;
5124;5695;11;
5125;12102;7;
5120;9733;0;
5121;6830;1;
5122;9778;8;
C0089;11176;1;
C0141;10865;3;
C0142;10401;6;
C0143;10865;8;
5316+5237;28121;0;
5316+5238;14061;2;
5316+5239;28778;0;
103101107;169;41;
105101207;169;4;
105102107;169;32;
006140;1762;200;
752084;43263;0;
760086;31984;10;
760616;5639;10;
709634;17424;6;
714624;26813;3;
715067;76725;10;
715087;107121;10;
715627;13666;10;
715757;44831;0;
715957;49644;0;
802010;4647;0;
802090;49756;6;
802110;6985;10;
803010;5202;10;
803080;19305;0;
803100;19305;0;
803110;7916;10;
806010;7673;10;
806080;76065;10;
806610;7673;10;
806910;8576;0;
807010;3140;10;
807110;6122;10;
807111;6954;10;
807117;9607;10;
807610;7673;10;
807611;4290;0;
1274-3T;30300;10;
808010;23595;0;
808030;27885;0;
808610;4146;10;
808613;1931;0;
808619;8569;0;
808620;6582;10;
808623;4347;0;
808627;10135;10;
1274-3P1;23100;10;
1155-1W;6000;10;
1155-2W;8900;10;
5316+5240;28870;0;
5317+5237;28121;0;
5317+5239;28778;0;
5317+5240;28870;0;
5318+5238;9885;0;
5319+5237;9885;0;
5319+5239;10299;0;
5320+5323;9620;1;
5320+5324;12897;0;
5320+5325;12967;0;
5321+5322;9770;1;
5321+5323;12373;0;
5321+5324;13088;0;
5321+5325;10392;1;
5310+5312;21819;0;
5310+5313;21726;0;
5310+5314;22921;0;
5310+5315;23036;0;
5311+5312;22171;0;
5311+5313;22076;0;
5311+5314;23270;0;
5311+5315;23386;0;
5300+5302;15070;0;
5300+5303;23800;0;
5300+5304;26569;0;
5300+5305;16956;0;
5301+5302;15070;0;
5301+5303;15070;0;
5301+5304;16823;0;
5301+5305;16956;0;
5306+5309;18223;0;
5307+5308;18223;0;
5307+5309;18223;0;
5230;18223;0;
5231;17664;0;
5233+5237;27117;0;
5233+5238;27117;0;
5233+5239;27776;0;
5234+5238;26927;1;
5234+5239;27581;0;
5234+5240;27672;0;
5235+5237;15499;0;
5235+5240;16245;2;
5236+5238;7590;71;
C0161;1636;21;
C0162;1636;498;
5236+5240;15930;2;
5257;33206;0;
5254;25399;2;
5255;22412;1;
5250;80235;0;
5252;34253;1;
C0180;4881;0;
C0181;4613;100;
C0182;6151;9;
C0183;8167;5;
C0190;3173;42;
C0191;4613;54;
C0192;6151;3;
C0081;8073;17;
C0082;8073;27;
C0083;7143;36;
C0084;7143;20;
C0085;7216;23;
C0086;7216;14;
C0087;7216;5;
C0088;7216;22;
C0071;6362;94;
C0072;6362;0;
C0073;9935;74;
C0074;9935;18;
C0075;6362;5;
C0042;3701;98;
C0043;8722;40;
C0044;8722;4;
C0001;1858;30;
C0003;1858;325;
C0004;1858;127;
02400/30/30;12354;0;
02401/28/17;7112;0;
02401/28/30;6604;0;
02402/40/17;9199;0;
02402/40/30;7084;0;
03508/01/31;3809;0;
03508/01/32;2920;0;
03508/01/36;2920;0;
03508/01/41;2920;0;
03601/01/31;8872;0;
03601/01/36;8872;0;
03601/01/41;8872;0;
03603/05/30;17270;1;
03603/05/31;17270;1;
03703/10/30;33828;2;
03703/10/31;33828;0;
04200/06/11;14937;0;
04200/09/11;18830;0;
17202/21/31;7131;0;
17995/01/31;11642;0;
23155/30/31;38361;0;
23259/07/31;23211;0;
23455/30/31;24690;0;
28860/02/30;15260;0;
29810/06/30;10537;0;
30491/35/02;16709;0;
30794/81/36;50967;0;
33157/10/31;23798;0;
33158/10/31;14440;1;
33159/10/31;33048;0;
33258/05/31;20029;0;
33258/10/31;35078;0;
33956/05/31;9830;4;
33956/20/31;23953;0;
34425/35/70;10658;1;
34425/35/76;21059;0;
34502/81/41;5273;0;
35100/14/31;5498;0;
35100/17/31;6694;0;
35101/14/31;6888;2;
35400/25/31;9734;0;
35401/25/31;6024;0;
35402/10/31;7016;0;
39112/28/11;23671;0;
39112/40/11;26305;0;
39210/07/11;18207;0;
39210/10/11;20148;0;
39211/10/11;22965;0;
39213/01/11;4610;0;
71360/50/17;19201;0;
1D1270GU;119;3;
LSL-7101-01;880;0;
LSL-7101-03;3200;0;
LSL-7201-02;2025;0;
LSL-7301-01;1897;133;
LSL-7301-02;3814;71;
LSL-7301-03;5741;49;
LSL-7309-04;7342;14;
LSL-7401-01;1000;1;
LSL-7401-02;3867;0;
LSL-7401-03;5817;0;
LSL-7401-04;7750;0;
LSL-7409-04;5821;0;
LSN-0801-03;1525;0;
LSN-3101-01;1402;0;
LSN-3101-02;2591;6;
LSN-3101-03;4382;0;
LSN-3107-03;4206;0;
LSN-3109-04;4093;7;
LSN-3109-06;10454;0;
LSN-3111-01;1402;0;
LSN-3111-02;1935;49;
LSN-3111-03;4439;0;
LSN-3119-04;5906;0;
LSN-3119-06;11616;0;
LSN-3121-01;1519;0;
LSN-3121-02;2419;45;
LSN-3121-03;3375;16;
LSN-3127-03;2670;99;
LSN-3129-04;5906;0;
LSN-3129-06;10454;0;
LSQ-3601-04;2237;0;
LSX-5001-01;1024;0;
LSX-5001-02;4794;0;
WE316.04.507;15745;0;
WE316.08.507;19530;0;
WE316.12.507;40283;0;
WE317.02.201;6319;0;
WE317.06.207;17390;0;
WE317.08.207;12971;0;
WE322.12.503;80452;0;
WE322.16.203;84289;1;
WE324.03.507;13374;0;
WE331.03.503;14250;0;
WE342.03.027;8178;0;
WE342.03.627;8178;0;
WE343.03.607;10548;0;
WE343.03.627;8178;1;
WE348.06.403;23614;2;
WE351.07.307;47315;0;
WE354.02.001;3680;0;
WE354.02.003;19915;0;
WE354.02.603;6559;0;
WE354.03.007;9886;1;
WE354.03.027;9886;1;
WE354.03.603;7205;0;
WE354.03.607;12524;0;
WE354.03.627;18998;0;
WE354.05.603;10784;0;
WE354.08.603;50336;0;
WE354.12.003;75190;0;
WE354.12.603;49530;0;
WE357.03.003;13334;2;
WE357.06.003;14402;0;
WE357.08.003;17904;0;
WE358.03.003;24431;0;
WE358.03.007;11669;0;
WE358.03.027;17352;0;
WE358.08.003;52867;0;
WE358.11.003;65849;0;
WE359.01.001;3504;1;
11806/01/12;4341;0;
11806/01/30;3802;0;
11807/01/12;4289;0;
11807/01/30;4289;0;
17941/09/11;14335;0;
22954/01/12;1542;5;
22954/01/31;2587;2;
22955/01/12;2749;0;
22955/01/31;2620;0;
27867/05/30;10278;0;
27867/35/30;11440;0;
27870/01/31;6177;7;
31485/01/11;6665;0;
32452/20/11;35920;0;
71558/21/31;884;0;
71559/21/34;908;0;
78368/30/31;15264;1;
1403-1P;21200;0;
1410-6P;20900;0;
1410-1P;3000;10;
1410-1W;3900;0;
1405-1W;4000;0;
1405-5P;21000;2;
1405-8P;54800;0;
1355-5PC;17800;0;
1356-5PC;17800;0;
803039;6435;1;
803047;5865;10;
803048;6435;10;
803049;6435;8;
803057;19190;10;
803058;12870;0;
803059;13956;0;
803067;29150;6;
803068;16946;1;
803069;21915;0;
052016;1695;200;
010010;598;200;
010011;689;200;
010012;372;0;
010014;633;200;
010018;497;0;
010030;598;200;
010031;776;31;
010032;372;0;
010034;429;0;
010038;429;143;
051016;2395;200;
051017;2395;203;
051019;1973;2;
210316;433;0;
210317;433;0;
210319;433;0;
210326;785;0;
210327;2778;0;
210329;785;0;
210336;1463;1;
210338;1827;0;
210339;1463;21;
214436;587;242;
214437;587;211;
214438;835;200;
214439;647;200;
214454;1287;49;
OML-30801-01;3920;20;
OML-30807-06;19940;0;
OML-30807-08;27010;2;
OML-80101-01;8140;20;
OML-80103-03;19000;17;
OML-80104-01;12440;0;
OML-80107-03;16830;20;
OML-80301-01;8060;20;
OML-80303-03;19180;20;
OML-80304-01;16230;20;
OML-80307-03;17640;20;
OML-80313-03;27510;20;
OML-80401-01;8410;20;
OML-80403-03;21150;20;
OML-80404-01;16230;20;
OML-80407-03;18940;20;
OML-80501-01;7860;20;
OML-80503-03;18740;20;
OML-80504-01;15650;20;
OML-80601-01;8150;20;
OML-80603-03;19570;16;
OML-80604-01;15840;17;
OML-80607-03;19240;20;
OML-80701-01;7020;17;
OML-80703-03;19400;20;
OML-80704-01;16140;20;
OML-80707-03;17700;16;
OML-80901-01;7970;20;
OML-80903-03;18160;9;
OML-80904-01;15590;19;
OML-80907-03;16890;20;
OML-40501-02;3810;0;
OML-40507-01;2420;0;
OML-40507-02;3130;0;
OML-40507-04;6150;0;
OML-40511-02;3810;0;
OML-40517-01;2420;0;
OML-40517-02;3130;0;
OML-40517-04;6150;0;
OML-52001-01;11040;20;
OML-52003-08;34910;0;
OML-52003-10;37810;0;
OML-52003-12;55950;0;
OML-52011-01;11010;18;
OML-58407-05;8220;0;
743062;20691;0;
743162;21714;0;
